Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
5880;10;Ceratophallus;natalensis;;Kenya;Kanyamedha, Kisumu area ;Kanyamedha;0°4'0'' S;34°45'0'' E;;;;JEJ;;1;1976;;12;;;;
5881;10;Ceratophallus;natalensis;;Kenya;River Ragai near Giakaibii. Mt. Kenya;Giakaibii;0° 25' 0S;37° 8' 60E;-0.41670;37.15000;River;Young;;;1972;;49;;Anisus natalensis on label;;
5882;10;Ceratophallus;natalensis;;Kenya;Dam at Kiserian village, Ngong Hills;Kiserian ;1° 25' 60S;36° 40' 60E;-1.43330;36.68330;Dam;Young;;;1972;;22;;Anisus natalensis on label;;
5883;10;Ceratophallus;natalensis;;Kenya;Thika, Dam;Thika;1° 3' 0S;37° 4' 60E;-1.05000;37.08330;Dam;OR;30;4;1975;;;;;;
5884;10;Ceratophallus;natalensis;;Kenya;Kongony Stream, Kisumu;Kisumu;0° 6' 0S;34° 45' 0E;-0.10000;34.75000;Stream;MacMahon;19;3;1951;;;;Anisus natalensis on label;;
5885;10;Ceratophallus;natalensis;;Kenya;Lake Naivasha;Lake Naivasha;0° 46' 6.7S;36° 21' 2.32 E;-0.76853;36.35064;Lake ;Young;;;1972;;44;;Anisus natalensis on label;;
5886;10;Ceratophallus;natalensis;;Kenya;Lake En Munteita;Lake En Munteita;;;-0.45000;36.25000;Lake ;Young;;;1972;;43;;Anisus natalensis on label;;
5887;10;Ceratophallus;natalensis;;Kenya;Lake Victoria, Kavirondo gulf;Kavirondo Gulf;;;-0.25000;34.58333;Lake ;MacMahon;10;1;1950;;;;Anisus natalensis on label;;
5888;10;Ceratophallus;natalensis;;Kenya;Dam at Ngong village ;Ngong;1° 22' 0S;36° 38' 60E;-1.36670;36.65000;Dam;Young;;;1972;;23;;Anisus natalensis on label;;
5889;10;Ceratophallus;natalensis;;Kenya;Lake Jipe, Taveta;Taveta;3° 23' 60S;37° 40' 60E;-3.40000;37.68330;Lake ;Highton;;10;1970;;;;Anisus natalensis on label;;
5890;10;Ceratophallus;natalensis;;Kenya;Pit, Mwani road, Kisumu area ;Kisumu;0° 6' 0S;34° 45' 0E;-0.10000;34.75000;Pit;OR;15;5;1975;;;;;;
5891;10;Ceratophallus;natalensis;;Kenya;Ruiru Stream Nairobi-Thika road ;Ruiru;1° 8' 60S;36° 58' 0E;-1.15000;36.96670;Stream;Young;;;1972;;6;;Anisus natalensis on label;;
5892;10;Ceratophallus;natalensis;;Kenya;River Rongai, Mt. Kenya;River Rongai;;;;;River;Young;;;1972;;51;;Anisus natalensis on label;;
5893;10;Ceratophallus;natalensis;;Kenya;Thika, ditch;Thika;1° 3' 0S;37° 4' 60E;-1.05000;37.08330;Ditch;OR;30;4;1975;;;;;;
5894;10;Ceratophallus;natalensis;;Kenya;Nguka Dam, Mwea;Nguka;0° 40' 0S;37° 19' 0E;-0.66670;37.31670;Dam;OR;5;5;1975;;;;Anisus natalensis on label;;
5895;10;Ceratophallus;natalensis;;Kenya;Pool 5 km N of Kijabe;Kijabe;0° 55' 60S;36° 34' 0E;-0.93330;36.56670;Pool;JEJ;;6;1976;;;;;;
5896;10;Ceratophallus;natalensis;;Kenya;Pond near Karen ;Karen ;1°20'0'' S;36°42'0'' E;;;Pond;Young;;;1972;;16;;Anisus natalensis on label;;
5897;10;Ceratophallus;natalensis;;Kenya;Kacheliba N of Kitale near Ugandan border;Kacheliba;1° 28' 60N;35° 1' 0E;1.48330;35.01670;;Pitman;;;;;;;(Verdcourt mis) Anisus natalensis on label;;
